zu,ze,-0.162283275,,,,
zu,tu,-0.162283275,,,,
zu,do,-0.162283275,,,,
zu,bu,-0.162283275,,,,
tu,nu,-0.162283275,,,,
tu,ru,-0.162283275,,,,
do,nu,-0.162283275,,,,
do,ru,-0.162283275,,,,
nu,ne,-0.162283275,,,,
nu,bu,-0.162283275,,,,
nu,mi,-0.162283275,,,,
bu,ru,-0.162283275,,,,
ru,re,-0.162283275,,,,
hja,hjo,-0.162559897,,,,
i,gi,-0.162987115,,,,
u,zju,-0.163638278,,,,
i,ru,-0.164066922,,,,
e,bi,-0.164133188,,,,
u,tju,-0.165512358,,,,
u,to,-0.165815542,,,,
so,zju,-0.166022448,,,,
zi,zju,-0.166022448,,,,
ni,nju,-0.166022448,,,,
nju,mo,-0.166022448,,,,
ri,rju,-0.166022448,,,,
o,nu,-0.166161805,,,,
i,pe,-0.166293169,,,,
u,ku,-0.166724872,,,,
ha,ho,-0.166953408,,,,
sju,tjo,-0.168044462,,,,
sju,pju,-0.168044462,,,,
zja,tja,-0.168044462,,,,
zja,bja,-0.168044462,,,,
zjo,tjo,-0.168044462,,,,
zjo,bjo,-0.168044462,,,,
tja,rja,-0.168044462,,,,
tjo,njo,-0.168044462,,,,
tjo,rjo,-0.168044462,,,,
njo,bjo,-0.168044462,,,,
pju,mju,-0.168044462,,,,
bja,rja,-0.168044462,,,,
bjo,mju,-0.168044462,,,,
bjo,rjo,-0.168044462,,,,
o,pu,-0.168058394,,,,
i,de,-0.169585858,,,,
zu,rju,-0.169763948,,,,
zju,ru,-0.169763948,,,,
nu,rju,-0.169763948,,,,
nju,ru,-0.169763948,,,,
i,re,-0.170135283,,,,
e,ra,-0.1706328,,,,
e,ro,-0.1706328,,,,
sju,rju,-0.170833376,,,,
zja,zju,-0.170833376,,,,
zju,rjo,-0.170833376,,,,
zjo,rju,-0.170833376,,,,
nju,rjo,-0.170833376,,,,
njo,rju,-0.170833376,,,,
mju,rju,-0.170833376,,,,
rja,rju,-0.170833376,,,,
su,se,-0.171076045,,,,
su,to,-0.171076045,,,,
su,pu,-0.171076045,,,,
se,za,-0.171076045,,,,
se,zo,-0.171076045,,o,djo,-0.148663593
za,ta,-0.171076045,,,,
za,ba,-0.171076045,,,,
zo,to,-0.171076045,,,,
zo,bo,-0.171076045,,,,
ta,na,-0.171076045,,,,
